STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA_x,RGSA_GAS_EFFECT,NGSA_x,NGSA_GAS_EFFECT,DGSA_x,DGSA_GAS_EFFECT,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RGSA_y,NGSA_y,DGSA_y
ABAB,ABB-041,1387.2972,,-45.0896,44.776,1.309,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8809508260224524,0.3732,2.0999999999999996
ABAB,ABB-041,1387.4496,,-44.4306,44.776,1.294,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8831253647944244,0.3732,2.0999999999999996
ABAB,ABB-041,1387.602,,-43.7727,44.776,1.28,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8853052711972946,0.3732,2.0999999999999996
ABAB,ABB-041,1387.7544,,-43.1148,44.776,1.265,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8874905584805153,0.3732,2.0999999999999996
ABAB,ABB-041,1387.9068,,-42.4558,44.776,1.252,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8896812399262531,0.3732,2.0999999999999996
ABAB,ABB-041,1388.0592,,-41.5659,44.776,1.239,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8918773288494576,0.3732,2.0999999999999996
ABAB,ABB-041,1388.2116,,-40.676,44.776,1.243,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8940788385979476,0.3732,2.0999999999999996
ABAB,ABB-041,1388.364,,-39.7861,44.776,1.247,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8962857825524804,0.3732,2.0999999999999996
ABAB,ABB-041,1388.5164,,-38.8951,44.776,1.251,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8984981741268517,0.3732,2.0999999999999996
ABAB,ABB-041,1388.6688,,-38.3382,44.776,1.255,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9007160267679649,0.3732,2.0999999999999996
ABAB,ABB-041,1388.8212,,-37.7803,44.776,1.259,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9043139752401942,0.3732,2.0999999999999996
ABAB,ABB-041,1388.9736,,-37.2234,44.776,1.298,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9093085092001951,0.3732,2.0999999999999996
ABAB,ABB-041,1389.126,,-36.6654,44.776,1.337,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9143306280147494,0.3732,2.0999999999999996
ABAB,ABB-041,1389.2784,,-36.9555,44.776,1.376,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.919380484035249,0.3732,2.0999999999999996
ABAB,ABB-041,1389.4308,,-37.2446,44.776,1.415,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9244582304545315,0.3732,2.0999999999999996
ABAB,ABB-041,1389.5832,,-37.5337,44.776,1.45,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9295640213114968,0.3732,2.0999999999999996
ABAB,ABB-041,1389.7356,,-37.8237,44.776,1.451,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9346980114958264,0.3732,2.0999999999999996
ABAB,ABB-041,1389.888,,-38.1128,44.776,1.452,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9398603567526508,0.3732,2.0999999999999996
ABAB,ABB-041,1390.0404,,-38.4029,44.776,1.454,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.94505121368729,0.3732,2.0999999999999996
