STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR
ABAB,ABB-138,715.3656,8.4804,-57.2014,122.4844,1.0597,0.5312,2.0549,MEF,
ABAB,ABB-138,715.518,8.6072,-57.4444,125.086,1.0777,0.5348,2.0629,MEF,
ABAB,ABB-138,715.6704,8.455,-58.1944,125.5466,1.0872,0.5037,2.0793,MEF,
ABAB,ABB-138,715.8228,8.5311,-59.2266,127.3317,1.1014,0.533,2.0964,MEF,
ABAB,ABB-138,715.9752,8.5564,-59.2639,124.68,1.0744,0.5181,2.1239,MEF,
ABAB,ABB-138,716.1276,8.5818,-60.1319,123.8141,1.1067,0.5433,2.1416,MEF,
ABAB,ABB-138,716.28,8.6832,-60.5278,123.1655,1.1477,0.5093,2.1609,MEF,
ABAB,ABB-138,716.4324,8.5057,-60.875,123.2308,1.1411,0.4703,2.1732,MEF,
ABAB,ABB-138,716.5848,8.493,-60.9792,123.5613,1.2034,0.4825,2.1933,MEF,
ABAB,ABB-138,716.7372,8.5311,-61.1406,120.3498,1.1287,0.4683,2.1902,MEF,
ABAB,ABB-138,716.8896,8.5057,-61.0347,114.0964,1.1041,0.4791,2.1816,MEF,
ABAB,ABB-138,717.042,8.6072,-60.8472,108.9903,1.0567,0.4757,2.1553,MEF,
ABAB,ABB-138,717.1944,8.6072,-60.1667,112.1683,1.0134,0.5161,2.1435,MEF,
ABAB,ABB-138,717.3468,8.6325,-59.2847,112.6898,1.0462,0.5278,2.1472,MEF,
ABAB,ABB-138,717.4992,8.6452,-58.0972,114.6538,1.0596,0.5188,2.1441,MEF,
ABAB,ABB-138,717.6516,8.6832,-57.9844,113.832,0.9762,0.4956,2.1538,MEF,
ABAB,ABB-138,717.804,8.7847,-57.7986,116.0665,1.0033,0.4982,2.1332,MEF,
ABAB,ABB-138,717.9564,8.8101,-57.7014,115.8348,1.0373,0.5081,2.0724,MEF,
ABAB,ABB-138,718.1088,8.6959,-57.1667,114.8153,0.905,0.4674,1.9649,MEF,
ABAB,ABB-138,718.2612,9.5962,-55.9861,114.5166,0.9347,0.4705,1.9256,MEF,
ABAB,ABB-138,718.4136,8.8861,-56.4722,116.8934,0.9885,0.5215,1.9607,MEF,
ABAB,ABB-138,718.566,8.9115,-56.4861,116.3564,1.0194,0.604,2.0453,MEF,
ABAB,ABB-138,718.7184,8.9622,-55.9453,120.7059,1.0584,0.6406,2.0906,MEF,
ABAB,ABB-138,718.8708,8.8354,-56.5208,120.2655,1.0423,0.6326,2.1253,MEF,
ABAB,ABB-138,719.0232,8.9369,-57.2153,117.3697,0.9909,0.6132,2.1392,MEF,
ABAB,ABB-138,719.1756,8.6833,-57.5417,117.1824,1.1611,0.5487,2.1548,MEF,
ABAB,ABB-138,719.328,8.8608,-57.5,115.6375,1.1231,0.5137,2.176,MEF,
ABAB,ABB-138,719.4804,9.1905,-57.5833,118.8707,1.2655,0.4339,2.1865,MEF,
ABAB,ABB-138,719.6328,8.9876,-57.0486,121.9519,1.2901,0.4329,2.1777,MEF,
ABAB,ABB-138,719.7852,8.7086,-56.8125,119.1216,1.2805,0.4175,2.143,MEF,
ABAB,ABB-138,719.9376,8.5818,-56.7431,118.454,1.117,0.4536,2.1247,MEF,
ABAB,ABB-138,720.09,8.7847,-56.9375,115.468,1.0721,0.4307,2.1106,MEF,
ABAB,ABB-138,720.2424,8.9622,-57.2031,111.3798,1.071,0.4039,2.1046,MEF,
ABAB,ABB-138,720.3948,9.0637,-56.6597,108.4914,1.005,0.4143,2.1144,MEF,
ABAB,ABB-138,720.5472,8.8101,-57.25,106.8197,1.1043,0.4697,2.1342,MEF,
ABAB,ABB-138,720.6996,9.0256,-57.1319,109.2021,1.0982,0.5453,2.1642,MEF,
ABAB,ABB-138,720.852,8.9622,-57.0556,108.704,1.0226,0.5089,2.1553,MEF,
ABAB,ABB-138,721.0044,9.1017,-57.6528,105.7841,1.0799,0.4991,2.1488,MEF,
ABAB,ABB-138,721.1568,8.7847,-57.9028,110.4927,1.1493,0.4588,2.1356,MEF,
ABAB,ABB-138,721.3092,8.9242,-57.5417,109.9797,1.14,0.4901,2.14,MEF,
ABAB,ABB-138,721.4616,8.8354,-56.9609,110.0926,1.0492,0.437,2.119,MEF,
ABAB,ABB-138,721.614,8.9876,-57.4931,106.0895,1.0323,0.4068,2.1066,MEF,
ABAB,ABB-138,721.7664,8.8354,-57.6042,109.2762,1.0567,0.4429,2.0993,MEF,
ABAB,ABB-138,721.9188,8.7593,-57.6319,114.9709,1.1225,0.4733,2.1116,MEF,
ABAB,ABB-138,722.0712,8.8481,-57.4922,119.7352,1.1091,0.4985,2.1113,MEF,
ABAB,ABB-138,722.2236,8.734,-57.4722,120.7414,0.9755,0.445,2.114,MEF,
ABAB,ABB-138,722.376,8.9369,-57.6597,118.7532,1.0643,0.4766,2.1099,MEF,
ABAB,ABB-138,722.5284,8.8608,-57.5556,116.48,1.0249,0.4893,2.1179,MEF,
ABAB,ABB-138,722.6808,8.8861,-57.4167,118.857,1.0431,0.5285,2.1237,MEF,
ABAB,ABB-138,722.8332,8.7593,-57.4792,123.5979,1.0268,0.5117,2.1365,MEF,
