DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1403.1468,ABAB,ABB-122,,-65.2066,69.541,1.218,0.3972,2.19,GUF
1403.2992,ABAB,ABB-122,,-64.7104,69.541,1.241,0.3972,2.19,GUF
1403.4516,ABAB,ABB-122,,-63.7971,69.541,1.264,0.3972,2.19,GUF
1403.604,ABAB,ABB-122,,-62.8839,69.541,1.313,0.3972,2.19,GUF
1403.7564,ABAB,ABB-122,,-61.9716,69.541,1.364,0.3972,2.19,GUF
1403.9088,ABAB,ABB-122,,-60.2304,69.541,1.417,0.3972,2.19,GUF
1404.0612,ABAB,ABB-122,,-59.1941,69.541,1.456,0.3972,2.19,GUF
1404.2136,ABAB,ABB-122,,-58.1588,69.541,1.496,0.3972,2.19,GUF
1404.366,ABAB,ABB-122,,-57.7786,69.541,1.484,0.3972,2.19,GUF
1404.5184,ABAB,ABB-122,,-58.2283,69.541,1.472,0.3972,2.19,GUF
1404.6708,ABAB,ABB-122,,-58.6791,69.541,1.46,0.3972,2.19,GUF
1404.8232,ABAB,ABB-122,,-58.1498,69.541,1.41,0.3972,2.19,GUF
1404.9756,ABAB,ABB-122,,-57.6206,69.541,1.362,0.3972,2.19,GUF
1405.128,ABAB,ABB-122,,-57.0923,69.541,1.316,0.3972,2.19,GUF
1405.2804,ABAB,ABB-122,,-55.685,69.541,1.283,0.3972,2.19,GUF
1405.4328,ABAB,ABB-122,,-54.2778,69.541,1.252,0.3972,2.19,GUF
1405.5852,ABAB,ABB-122,,-54.5745,69.541,1.221,0.3972,2.19,GUF
1405.7376,ABAB,ABB-122,,-55.4903,69.541,1.215,0.3972,2.19,GUF
1405.89,ABAB,ABB-122,,-56.407,69.541,1.209,0.3972,2.19,GUF
1406.0424,ABAB,ABB-122,,-56.7278,69.541,1.202,0.3972,2.19,GUF
1406.1948,ABAB,ABB-122,,-57.0475,69.541,1.216,0.3972,2.19,GUF
1406.3472,ABAB,ABB-122,,-56.4193,69.541,1.23,0.3972,2.19,GUF
1406.4996,ABAB,ABB-122,,-55.79,69.541,1.243,0.3972,2.19,GUF
1406.652,ABAB,ABB-122,,-55.3607,69.541,1.258,0.3972,2.19,GUF
1406.8044,ABAB,ABB-122,,-55.6545,69.541,1.255,0.3972,2.19,GUF
1406.9568,ABAB,ABB-122,,-55.9492,69.541,1.253,0.3972,2.19,GUF
1407.1092,ABAB,ABB-122,,-56.244,69.541,1.25,0.3972,2.19,GUF
1407.2616,ABAB,ABB-122,,-56.5447,69.541,1.248,0.3972,2.19,GUF
1407.414,ABAB,ABB-122,,-56.8465,69.541,1.246,0.3972,2.19,GUF
1407.5664,ABAB,ABB-122,,-57.0212,69.541,1.236,0.3972,2.19,GUF
1407.7188,ABAB,ABB-122,,-57.1969,69.541,1.227,0.3972,2.19,GUF
1407.8712,ABAB,ABB-122,,-57.3727,69.541,1.218,0.3972,2.19,GUF
1408.0236,ABAB,ABB-122,,-57.5404,69.541,1.209,0.3972,2.19,GUF
